1787.786,-7.0,773.643,
478.0,-7.0,-0.0,
465.77,-7.0,-14.638,
465.08,-7.0,-29.261,
467.914,-7.0,-44.231,
466.294,-7.0,-58.907,
486.93,-7.0,-77.122,
503.913,-7.0,-96.127,
432.331,-7.0,-96.638,
378.716,-7.0,-97.238,
335.142,-7.0,-97.368,
298.632,-7.0,-97.032,
270.974,-7.0,-97.557,
247.32,-7.0,-97.921,
226.685,-7.0,-98.096,
208.11,-7.0,-97.929,
192.457,-7.0,-98.062,
179.643,-7.0,-98.76,
164.402,-7.0,-97.227,
154.512,-7.0,-98.056,
142.258,-7.0,-96.678,
135.106,-7.0,-98.16,
126.425,-7.0,-98.065,
118.659,-7.0,-98.163,
111.766,-7.0,-98.536,
106.429,-7.0,-99.944,
98.288,-7.0,-98.288,
91.729,-7.0,-97.682,
86.632,-7.0,-98.265,
81.59,-7.0,-98.626,
77.226,-7.0,-99.56,
72.298,-7.0,-99.509,
66.888,-7.0,-98.423,
63.227,-7.0,-99.631,
59.049,-7.0,-99.846,
55.883,-7.0,-101.652,
51.755,-7.0,-101.575,
46.41,-7.0,-98.626,
42.495,-7.0,-98.2,
39.389,-7.0,-99.486,
35.906,-7.0,-99.733,
32.447,-7.0,-99.861,
29.294,-7.0,-100.831,
25.366,-7.0,-98.796,
22.687,-7.0,-101.495,
18.925,-7.0,-99.211,
15.956,-7.0,-100.744,
10.779,-7.0,-85.322,
4.423,-7.0,-46.791,
2.637,-7.0,-41.917,
1.728,-7.0,-54.973,
-0.0,-7.0,-37.0,
476.984,7.986,-0.0,
466.759,7.665,-14.669,
467.066,7.675,-29.386,
466.908,7.67,-44.137,
468.267,7.712,-59.158,
482.961,8.174,-76.497,
510.757,9.048,-97.439,
437.215,6.737,-97.728,
379.717,4.93,-97.487,
336.157,3.561,-97.647,
303.457,2.533,-98.577,
272.0,1.544,-97.895,
250.206,0.86,-99.026,
228.628,0.181,-98.89,
208.227,-0.46,-97.929,
195.254,-0.867,-99.424,
178.022,-1.409,-97.796,
164.54,-1.833,-97.227,
155.499,-2.117,-98.592,
144.061,-2.476,-97.803,
136.068,-2.727,-98.748,
126.582,-3.025,-98.065,
119.59,-3.245,-98.801,
112.681,-3.462,-99.197,
106.597,-3.654,-99.944,
99.166,-3.887,-98.995,
92.588,-4.094,-98.411,
86.148,-4.296,-97.515,
81.133,-4.454,-97.855,
77.408,-4.571,-99.56,
71.894,-4.744,-98.7,
67.637,-4.878,-99.25,
63.416,-5.011,-99.631,
59.239,-5.142,-99.846,
56.076,-5.241,-101.652,
51.949,-5.371,-101.575,
47.458,-5.512,-100.436,
42.694,-5.662,-98.2,
39.958,-5.748,-100.416,
36.447,-5.858,-100.674,
32.342,-5.987,-98.91,
29.499,-6.076,-100.831,
26.071,-6.184,-100.733,
22.895,-6.284,-101.495,
19.698,-6.384,-102.158,
16.012,-6.5,-99.757,
11.745,-6.634,-91.275,
4.547,-6.861,-45.796,
3.107,-6.906,-45.909,
1.758,-6.948,-48.976,
0.22,-6.997,-49.0,
498.468,24.347,31.395,
480.49,23.216,-0.0,
468.283,22.448,-14.732,
468.586,22.467,-29.512,
468.424,22.457,-44.325,
467.794,22.417,-59.158,
484.438,23.464,-76.81,
514.142,25.333,-98.188,
432.891,20.221,-96.856,
378.408,16.794,-97.238,
337.796,14.238,-98.205,
305.126,12.183,-99.195,
270.878,10.028,-97.557,
248.2,8.602,-98.289,
227.593,7.305,-98.493,
210.848,6.252,-99.207,
193.406,5.154,-98.516,
180.602,4.349,-99.241,
164.517,3.337,-97.227,
155.489,2.769,-98.592,
144.893,2.102,-98.365,
135.279,1.497,-98.16,
127.403,1.002,-98.678,
120.402,0.561,-99.438,
111.985,0.032,-98.536,
103.749,-0.487,-97.206,
99.239,-0.77,-98.995,
93.354,-1.14,-99.14,
87.56,-1.505,-99.015,
81.233,-1.903,-97.855,
77.513,-2.137,-99.56,
72.594,-2.447,-99.509,
67.756,-2.751,-99.25,
63.542,-3.016,-99.631,
59.372,-3.278,-99.846,
56.213,-3.477,-101.652,
51.639,-3.765,-100.684,
48.033,-3.992,-101.341,
44.436,-4.218,-101.871,
39.751,-4.513,-99.486,
36.951,-4.689,-101.615,
33.439,-4.91,-101.763,
29.676,-5.147,-100.831,
26.004,-5.378,-99.764,
23.082,-5.562,-101.495,
19.515,-5.786,-100.193,
16.677,-5.965,-102.72,
12.823,-6.207,-98.219,
4.666,-6.72,-44.8,
3.009,-6.825,-40.919,
1.882,-6.895,-45.977,
0.439,-6.986,-49.0,
1892.752,171.887,179.652,
1890.481,171.672,119.427,
489.48,39.238,-0.0,
468.342,37.24,-14.763,
469.637,37.363,-29.637,
466.496,37.066,-44.231,
470.809,37.473,-59.659,
481.495,38.483,-76.497,
514.071,41.563,-98.375,
431.071,33.717,-96.638,
379.623,28.854,-97.735,
337.182,24.842,-98.205,
299.859,21.314,-97.65,
274.177,18.886,-98.912,
249.659,16.568,-99.026,
228.165,14.537,-98.89,
210.548,12.871,-99.207,
193.149,11.227,-98.516,
177.759,9.772,-97.796,
166.902,8.746,-98.754,
157.007,7.81,-99.664,
143.932,6.574,-97.803,
135.165,5.746,-98.16,
128.096,5.077,-99.291,
